City Name	Zone Name	Ward Name	Ward No.	Area (in sq km)	Total Population (in thousands)	Population - Male (in thousands)	Population - female (in thousands)	population - children aged 0-14 (in thousands)	Population - youth aged 15-24 (in thousands)	Population - adults aged 25-60 (in thousands)	Population - Senior citizens aged 60+ (in thousands)
Bhubaneswar	South-East Zone	NA	W44	0.101431902	12.091	6.549	5.542	1.007	0.033	NA	NA
Bhubaneswar	South-East Zone	NA	W32	0.223563558	11.28	5.851	5.429	0.701	0.028	NA	NA
Bhubaneswar	North Zone	NA	W18	0.148209429	13.094	6.957	6.137	1.185	0.21	NA	NA
Bhubaneswar	North Zone	NA	W14	0.378115409	13.522	7.086	6.436	1.321	0.821	NA	NA
Bhubaneswar	North Zone	NA	W8	0.391840451	13.529	7.172	6.357	0.628	0.839	NA	NA
Bhubaneswar	South-East Zone	NA	W60	0.49545866	15.459	8.045	7.414	0.517	0.065	NA	NA
Bhubaneswar	South-East Zone	NA	W61	0.599399112	13.522	6.987	6.535	1.05	0.053	NA	NA
Bhubaneswar	South-East Zone	NA	W67	0.161216969	11.938	6.264	5.674	1.308	0.13	NA	NA
Bhubaneswar	South-West Zone	NA	W65	0.301833854	12.055	6.42	5.635	0.437	0.062	NA	NA
Bhubaneswar	South-West Zone	NA	W64	0.159041363	11.236	5.74	5.496	0.888	0.397	NA	NA
